,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
112,9,14,12,1,0,75,1,bowled,1,v Pakistan,Adelaide,28-Jan-05
113,0,-,3,0,0,0,1,caught,2,v Pakistan,Perth,01-Feb-05
114,26,37,31,4,0,83.87,1,caught,1,v South Africa,Kingston,07-May-05
115,11,13,15,2,0,73.33,1,bowled,1,v South Africa,Kingston,08-May-05
116,132,219,152,7,2,86.84,1,caught,2,v South Africa,Bridgetown,11-May-05
117,3,-,5,0,0,60,1,caught,1,v South Africa,Port of Spain,14-May-05
118,28,20,20,5,1,140,1,caught,1,v South Africa,Port of Spain,15-May-05
119,22,28,21,5,0,104.76,1,caught,2,v Pakistan,Kingstown,18-May-05
120,43,60,45,5,1,95.55,1,bowled,2,v Pakistan,Gros Islet,21-May-05
121,124,190,137,13,0,90.51,1,caught,2,v Pakistan,Gros Islet,22-May-05
122,54,82,48,8,1,112.5,1,caught,2,v Australia,Melbourne (Docklands),07-Oct-05
123,0,1,2,0,0,0,1,bowled,2,v Australia,Melbourne (Docklands),09-Oct-05
124,6,12,5,1,0,120,1,caught,2,v New Zealand,Wellington,18-Feb-06
125,0,13,16,0,0,0,1,bowled,1,v New Zealand,Queenstown,22-Feb-06
126,38,35,23,6,2,165.21,1,caught,2,v New Zealand,Christchurch,25-Feb-06
127,5,9,11,1,0,45.45,1,lbw,2,v New Zealand,Napier,01-Mar-06
128,2,24,22,0,0,9.09,1,bowled,2,v New Zealand,Auckland,04-Mar-06
129,35,94,71,3,1,49.29,1,caught,2,v Zimbabwe,St John's,29-Apr-06
130,49,-,73,7,0,67.12,1,caught,1,v Zimbabwe,St John's,30-Apr-06
131,95*,104,91,13,1,104.39,1,not out,2,v Zimbabwe,Gros Islet,10-May-06
132,2,-,17,0,0,11.76,1,bowled,1,v Zimbabwe,Port of Spain,13-May-06
133,11,-,32,0,0,34.37,1,caught,1,v Zimbabwe,Port of Spain,14-May-06
134,123,187,130,18,2,94.61,1,caught,1,v India,Kingston,18-May-06
135,0,7,8,0,0,0,1,caught,1,v India,Kingston,20-May-06
136,40,-,65,5,1,61.53,1,caught,2,v India,Basseterre,23-May-06
137,46,-,70,6,1,65.71,1,caught,2,v India,Port of Spain,26-May-06
138,51,-,61,10,0,83.6,1,bowled,1,v India,Port of Spain,28-May-06
139,58,88,46,7,2,126.08,1,caught,2,v Australia,Kuala Lumpur,12-Sep-06
140,45,62,35,9,0,128.57,1,caught,2,v India,Kuala Lumpur,14-Sep-06
141,79,151,93,7,3,84.94,1,caught,2,v Australia,Kuala Lumpur,18-Sep-06
142,1,13,7,0,0,14.28,6,lbw,2,v India,Kuala Lumpur,20-Sep-06
143,0,1,1,0,0,0,1,lbw,2,v Australia,Kuala Lumpur,24-Sep-06
144,41,48,34,7,1,120.58,1,caught,2,v Zimbabwe,Ahmedabad,08-Oct-06
145,104*,132,118,11,3,88.13,1,not out,2,v Bangladesh,Jaipur,11-Oct-06
146,0,4,5,0,0,0,1,caught,1,v Sri Lanka,Brabourne,14-Oct-06
147,24,57,26,4,0,92.3,2,caught,1,v Australia,Brabourne,18-Oct-06
148,34,38,37,7,0,91.89,1,caught,2,v India,Ahmedabad,26-Oct-06
149,101,177,128,10,1,78.9,1,run out,1,v England,Ahmedabad,28-Oct-06
150,133*,197,135,17,3,98.51,1,not out,2,v South Africa,Jaipur,02-Nov-06
151,37,27,27,6,2,137.03,2,bowled,1,v Australia,Brabourne,05-Nov-06
152,0,9,4,0,0,0,2,caught,1,v Pakistan,Faisalabad,07-Dec-06
153,41,41,37,7,1,110.81,1,lbw,1,v Pakistan,Lahore,10-Dec-06
154,9,11,14,2,0,64.28,1,bowled,2,v Pakistan,Multan,13-Dec-06
155,7,13,10,1,0,70,1,lbw,1,v Pakistan,Karachi,16-Dec-06
156,52,54,46,10,0,113.04,1,caught,2,v India,Nagpur,21-Jan-07
157,5,3,5,1,0,100,1,lbw,2,v India,Cuttack,24-Jan-07
158,0,1,1,0,0,0,1,lbw,2,v India,Chennai,27-Jan-07
159,6,12,11,1,0,54.54,2,bowled,2,v India,Vadodara,31-Jan-07
160,2,10,6,0,0,33.33,1,caught,1,v Pakistan,Kingston,13-Mar-07
161,40,82,48,3,3,83.33,1,caught,2,v Zimbabwe,Kingston,19-Mar-07
162,18,20,14,3,0,128.57,1,caught,2,v Ireland,Kingston,23-Mar-07
163,2,37,23,0,0,8.69,1,caught,2,v Australia,North Sound,27-Mar-07
164,44,96,56,8,0,78.57,1,bowled,1,v New Zealand,North Sound,29-Mar-07
165,10,23,21,1,0,47.61,1,caught,2,v Sri Lanka,Providence,01-Apr-07
166,32,54,35,3,0,91.42,1,run out,2,v South Africa,St George's,10-Apr-07
167,1,17,11,0,0,9.09,1,lbw,1,v Bangladesh,Bridgetown,19-Apr-07
168,79,105,58,10,3,136.2,1,caught,1,v England,Bridgetown,21-Apr-07
169,6,12,14,1,0,42.85,1,caught,2,v England,Lord's,01-Jul-07
170,36,55,40,2,3,90,1,caught,1,v England,Birmingham,04-Jul-07
171,82,171,126,8,0,65.07,1,caught,1,v England,Nottingham,07-Jul-07
172,51*,50,45,6,1,113.33,1,not out,2,v Netherlands,Dublin,10-Jul-07
